"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","USACE Division","USACE District","Last EAP Exercise Date"
"Hoagland #1","","","CO00877","","CO00877","LAZY SHAMROCK RANCH (SEAN FLANIGAN)","Private","Private","","BISHOP, BROGDEN;UNKNOWN","No","Irrigation","Irrigation;Recreation","Colorado","360120","39.848335999999996","-106.348899","Colorado","Summit","KREMMLING","14","ELLIOTT CREEK","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","34","33","34","34","25-50 feet","700","54660","1910","1910-1919","1986","628","628","35","11","5","6256","Uncontrolled","10","0","0","","0","","Slide (sluice gate)1","2022-12-22","2004-08-02","6","Low","Fair","2009-10-27","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Coal Gulch","","","WY02518","","WY02518","MONTGOMERY LIVESTOCK","Private","Private","0","CHUCK SCHMITT;USDA NRCS","Yes","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Wyoming","13959R","41.228","-107.37","Wyoming","Carbon","DIXON","16","COAL GULCH","Congressional District 00, Wyoming","35","Yes","Yes","SEO","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","Earth","Soil","30","20","22","30","25-50 feet","1290","41869","2013","Since 2000","","45","45","32","5.87","4878","185","Uncontrolled","80","","","","","","None","2022-03-17","2019-08-06","5","Low","Fair","2019-08-06","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Wommer #1","Lake Simpatico, Forest Lake","","CO01069","","CO01069","BARRETTE, BRUCE","Private","Private","0","USDA NRCS","No","Water Supply","Fish and Wildlife Pond;Recreation;Water Supply","Colorado","310104","37.321957","-107.588976","Colorado","La Plata","BAYFIELD","9","WOMMER DRAW-TR","Congressional District 03, Colorado","S12,T.35N,R.07W, NEW MEXICO","Yes","Yes","DWR","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","","","35","35","38","38","25-50 feet","545","","1952","1950-1959","","290","290","178","17","0","2173","Uncontrolled","54","0","0","","0","","Slide (sluice gate)1","2022-12-22","2022-09-29","1","High","Fair","2022-09-29","Yes","2018-11-21","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Turner","Falls Creek","","CO01066","","CO01066","FALLS CREEK RANCH ASSOCIATION, INC. (SOUTHWORTH, S","Private","Private","0","USDA NRCS","Yes","Recreation","Fish and Wildlife Pond;Recreation","Colorado","300113","37.36835","-107.866878","Colorado","La Plata","DURANGO","6","FALLS CREEK","Congressional District 03, Colorado","S21,T.36N,R.09W, NEW MEXICO","Yes","Yes","DWR","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","","","35","35","46","46","25-50 feet","510","","1969","1960-1969","","818","818","472","42","6","5000","Uncontrolled","125","0","0","","0","","Slide (sluice gate)1","2022-12-22","2022-07-20","1","High","Satisfactory","2022-07-20","Yes","2021-07-20","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Robinson Tailing Pond #1dam","","","CO02958","","CO02958","CLIMAX MOLYBDENUM","Private","Private","0","","","Other","Tailings;Other","Mine Safety and Health Administration","05-02256-02","39.398333","-106.203611","Colorado","Summit","Red Cliff","15","","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","Mine Safety and Health Administration","Mine Safety and Health Administration","","","Earth","Earth","","","235","","","235","Greater than 100 feet","6900","","","Undetermined","","73391","73391","","","","","","","","","","","","","2021-05-03","","","High","Not Available","","Yes","","https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams","Northwestern Division","Sacramento District",""
"Canyon Creek Evaporation Facility","","","WY02551","","WY02551","WEXPRO COMPANY","Private","Private","0","DAVID G WESTON","Yes","Other","Other","Wyoming","14154R","41.05507","-108.757276","Wyoming","Sweetwater","NONE","0","TRIB JENSEN DRAW","Congressional District 00, Wyoming","12","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","Soil","9","9","12","12","Less than 25 feet","2300","51539","2014","Since 2000","","50","50","50","4.6000000000000005","0","0","","0","","","","","","None","2022-03-17","2019-11-14","5","Low","Fair","2019-11-14","Not Required","","https://damsafety.org/wyoming","Northwestern Division","Sacramento District",""
"Moon Lake","","","UT10128","","UT10128","RECLAMATION","Federal","Federal","0","","No","Irrigation","Irrigation","Bureau of Reclamation","","40.561800000000005","-110.48830000000001","Utah","Duchesne","MYTON","37","LAKE FORK RIVER","Congressional District 01, Utah","","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Forest Service","Earth","Earth","Bituminous Concrete","Rock","101","71","101","101","Greater than 100 feet","1108","513000","1937","1930-1939","","49500","49500","49500","773","110","10000","Controlled","48","0","0","","0","","","2021-05-24","2020-08-19","1","High","Not Available","","Yes","2020-07-29","https://www.usbr.gov/ssle/damsafety/","Northwestern Division","Sacramento District",""
"Binco","","","CO02296","","CO02296","PEAK RANCH (HAMMER, DAVE)","Private","Private","0","UNKNOWN","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Colorado","500124","40.270005","-106.542229","Colorado","Grand","KREMMLING","24","ALBERT CREEK","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","45","45","45","45","25-50 feet","600","53215","1913","1910-1919","","480","480","312","37","3","530","Uncontrolled","12","0","0","","0","","Slide (sluice gate)1","2022-12-22","2022-05-26","6","Low","Satisfactory","2021-06-08","Yes","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Rifle Correctional Center No. 1","Rcc No. 1","","CO02928","","CO02928","RIFLE CORRECTIONAL CENTER (CHAVEZ, JOAN)","State","State","0","GMS, INC.","No","Irrigation","Irrigation","Colorado","390126","39.652301","-107.780538","Colorado","Garfield","RIFLE","6","MIDDLE RIFLE CREEK-OS","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","21","23","27","27","25-50 feet","1269","","2006","Since 2000","","43","43","33","3","0","40","Uncontrolled","2.5","0","0","","0","","","2022-12-22","2021-04-05","6","Low","Fair","2009-08-12","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Adobe Wash Regulating Reservoir","","","UT53623","","UT53623","COTTONWOOD CREEK CONSOLIDATED IRRIGATION","Private","Private","0","RB&G Engineering","No","Irrigation","Irrigation","Utah","UT53623","39.23675157","-111.0887829","Utah","Emery","","","","Congressional District 03, Utah",",~1E","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","60","65","65","51-100 feet","2750","","2012","Since 2000","","1843","1843","1354","","","299","","60","","","","","","","2021-03-17","2020-05-07","1","High","Satisfactory","2013-02-02","Yes","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Mock #1","","","CO02567","","CO02567","SOAP MESA VENTURES, LLC (FRENCH, JEFF)","Private","Private","0","","","Irrigation","Irrigation","Colorado","410202","38.377779","-107.862966","Colorado","Montrose","MONTROSE","9","UNCOMPAHGRE R, TR SPS-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","25","25","25","25","25-50 feet","640","700","1929","1920-1929","","53","53","35","4","12","480","None","10","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2017-04-19","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Bills Ranch Lake","","","CO02967","","CO02967","MOUNTAIN SIDE HOA (CACACE, DON)","Private","Private","0","UNKNOWN","","Recreation","Fish and Wildlife Pond;Recreation","Colorado","360135","39.568932","-106.08968899999999","Colorado","Summit","FRISCO","0","MINERS-TR","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Unlisted/Unknown;Unlisted/Unknown","Rock;Soil","8","8","8","8","Less than 25 feet","300","698","1933","1930-1939","","11","11","7","2","1","28","Uncontrolled","21","0","0","","0","","","2022-12-22","2022-08-24","2","Significant","Satisfactory","2022-08-24","Yes","2013-03-19","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Fish Creek #2","","","CO01638","","CO01638","CIMARRON CANAL & RESERVOIR CO. (DISTEL, ALLEN)","Private","Private","0","","Yes","Recreation","Recreation","Colorado","620121","38.265003","-107.568896","Colorado","Gunnison","CIMARRON","16","FISH CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","24","24","24","24","Less than 25 feet","1200","13746","1906","1900-1909","","343","335","343","40","1","2300","None","37","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2022-09-07","2","Significant","Unsatisfactory","2022-09-07","Yes","2015-03-27","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Tsaile","Tsaile Lake","","AZ10303","","AZ10303","BIA","Federal","Federal","0","","No","Irrigation","Irrigation;Recreation","Bureau of Indian Affairs","","36.27455","-109.2038","Arizona","Apache","CHINLE","25","TSAILE CREEK","Congressional District 01, Arizona","UNSURVEYED","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Earth","Earth","","","","","61","61","51-100 feet","1150","0","1964","1960-1969","","8100","","8100","","","","Controlled","0","0","0","","0","","","2018-10-04","2012-08-29","5","High","Not Available","","Yes","2005-07-04","https://www.bia.gov/bia/ots/dwp/safety-dams","South Pacific Division","Sacramento District",""
"Meadow Creek","","","CO00713","","CO00713","CITY OF ENGLEWOOD, FREEPORT MCMORAN, & DEN WATER","Local Government","Local Government","0","W. W. WHEELER & ASSOC","Yes","Water Supply","Water Supply","Colorado","510118","40.052225","-105.752234","Colorado","Grand","TABERNASH","6","MEADOW CREEK","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock","86","83","126","126","Greater than 100 feet","1485","543950","1974","1970-1979","","7545","7545","5370","170","7","3079","Uncontrolled","20","0","0","","0","","Valve7","2022-12-22","2022-08-10","1","High","Satisfactory","2022-08-10","Yes","2021-12-31","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Mcmahon #2","Red Dirt Reservoir","","CO00703","","CO00703","MCMAHON RESERVOIR CO. (PINTO VALLEY RANCH)","Private","Private","0","B.T. CHASE;MCLAUGHLIN WATER ENGINEERS;UNKNOWN","Yes","Irrigation","Irrigation","Colorado","500115","40.178332","-106.572227","Colorado","Grand","KREMMLING","18","RED DIRT CREEK","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","48","48","48","48","25-50 feet","987","117563","1913","1910-1919","1945H;1945M;1945S;1999H;1999M","4570","4570","3460","196","14","1817","Uncontrolled","25","0","0","","0","","Slide (sluice gate)1","2022-12-22","2022-06-14","2","Significant","Fair","2022-06-14","Yes","2002-12-10","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Glen Canyon","","","AZ10307","","AZ10307","RECLAMATION","Federal","Federal","0","","No","Hydroelectric","Irrigation;Recreation;Hydroelectric;Other","Bureau of Reclamation","","36.9379","-111.4842","Arizona","Coconino","LEES FERRY","15","COLORADO RIVER","Congressional District 01, Arizona","S24, T41N, R8E","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Concrete","Arch;Concrete","Bituminous Concrete","Rock","710","579","710","710","Greater than 100 feet","1565","4901000","1963","1960-1969","","29875000","29875000","27000000","160784","108355","276000","Controlled","160","0","0","","0","","","2021-05-24","2020-08-26","1","High","Not Available","","Yes","2020-04-28","https://www.usbr.gov/ssle/damsafety/","South Pacific Division","Sacramento District",""
"Grand Mesa #9","Ternahan","","CO00828","","CO00828","GRAND MESA RESERVOIR CO.","Private","Private","0","","Yes","Irrigation","Irrigation","Colorado","420123","39.030001999999996","-108.067227","Colorado","Mesa","GRAND JUNCTION","23","KAHNAH CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","15","15","15","15","Less than 25 feet","600","14667","1904","1900-1909","","268","268","153","23","4","186","None","25","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2019-08-20","6","Low","Fair","2021-06-03","Yes","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Deep Creek #2","","","CO00824","","CO00824","DEEP CREEK RESERVOIR CO. (JOHN CARELLI, PRESIDENT)","Private","Private","0","","Yes","Irrigation","Irrigation","Colorado","420111","39.006679999999996","-108.132228","Colorado","Mesa","WHITEWATER","17","KANNAH CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","31","31","31","31","25-50 feet","600","27200","1906","1900-1909","","658","658","353","66","0","45","None","6","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2021-09-22","2","Significant","Fair","2021-09-22","Yes","2022-01-18","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Theos Reservoir #1","","","CO02575","","CO02575","ECONOMOS, JOHN","Private","Private","","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation;Other","Colorado","430209","40.137121","-107.743681","Colorado","Rio Blanco","MEEKER","13","COAL CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","10","10","14","14","Less than 25 feet","300","","1973","1970-1979","","130","130","63","11","2","130","Uncontrolled","5","0","0","","0","","","2022-12-22","1991-09-04","6","Low","Satisfactory","2020-07-20","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Un-Named Dam 2","","","NM00705","","NM00705","","Not Listed","Not Listed","0","","No","","","Bureau of Indian Affairs","","36.210201","-107.860001","New Mexico","San Juan","","0.3","","Congressional District 03, New Mexico","","No","No","","No","No","No","","","","","","","","","","","","","25","","","25","25-50 feet","","0","","Undetermined","","156","","156","","","","","0","0","0","","0","","","2018-10-04","","0","Undetermined","Not Available","","No","","https://www.bia.gov/bia/ots/dwp/safety-dams","South Pacific Division","Albuquerque District",""
"Bruce Park","Terror Creek","","CO00435","","CO00435","TERROR DITCH & RESERVOIR CO.","Private","Private","0","","Yes","Irrigation","Irrigation;Water Supply;Fire Protection, Stock, Or Small Fish Pond","Colorado","400125","38.978705","-107.560739","Colorado","Delta","PAONIA","7","HUBBARD CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","58","58","62","62","51-100 feet","1015","49272","1950","1950-1959","","598","60","598","33","0","580","Uncontrolled","15","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2022-10-07","1","High","Fair","2022-10-07","Yes","2015-09-29","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Ralston #1","","","CO01922","","CO01922","RANCH AT COULTER CREEK HOA (LEVIN, ROBBIE)","Private","Private","0","THEODORE ROSENBERG;UNKNOWN","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Colorado","380121","39.515004","-107.142235","Colorado","Garfield","GLENWOOD SPRINGS","10","WEST COULTER CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","20","20","20","20","Less than 25 feet","200","3333","1904","1900-1909","1945","70","70","59","5","0","64","Uncontrolled","5","0","0","","0","","Slide (sluice gate)1","2022-12-22","2021-06-09","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Leon Lake","Two-Sides","","CO00807","","CO00807","LEON LAKE DITCH & RES. COMPANY (WALKER, JOHN)","Private","Private","0","DAVID SHIPLEY;FRANK A. MATTESON","Yes","Irrigation","Irrigation;Recreation","Colorado","720308","39.068396","-107.80222499999999","Colorado","Mesa","COLLBRAN","20","MIDDLE LEON CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","30","27","30","30","25-50 feet","110","5042","1898","Before 1900","1950H;1950M;1987S","3840","3840","2339","132","0","772","Uncontrolled","12","0","0","","0","","Slide (sluice gate)2","2022-12-22","2022-07-20","1","High","Unsatisfactory","2022-07-20","Yes","2017-08-09","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Flat Rock Reservoir","","","AZ10454","","AZ10454","","Not Listed","Not Listed","0","","No","","","Bureau of Indian Affairs","","35.990299","-109.542","Arizona","Apache","","0","","Congressional District 01, Arizona","","No","No","","No","No","No","","","","","","","","","","","","","25","","","25","25-50 feet","","0","","Undetermined","","174","","174","","","","","0","0","0","","0","","","2018-10-04","","0","Undetermined","Not Available","","No","","https://www.bia.gov/bia/ots/dwp/safety-dams","South Pacific Division","Sacramento District",""
"Roatcap Wash Watershed Rw-1","","","CO00741","","CO00741","SHAVANO SOIL CONSERVATION DISTRICT (LIPTON, KEN)","Public Utility","Public Utility","0","USDA NRCS","","Flood Risk Reduction","Flood Risk Reduction","Colorado","410110","38.61168","-108.050569","Colorado","Montrose","DELTA","13","UNCOMPAHGRE RIVER,TR&SP-TR","Congressional District 03, Colorado","S22,T.50N,R.11W, NEW MEXICO","Yes","Yes","DWR","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","Earth","Rock;Soil","48","33","38","48","25-50 feet","1118","70000","1964","1960-1969","","1053","1053","790","48","11","1530","Uncontrolled","72.5","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2022-05-23","3","High","Satisfactory","2022-05-23","Yes","2022-04-18","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Mosquito Dam","","","NM00055","","NM00055","DOI BLM","Federal","Federal","","","No","Debris Control","Debris Control","Bureau of Land Management","L1840075","35.985","-107.504","New Mexico","McKinley","","1.67","TRIBUTARY TO CANADA CORRALES","Congressional District 03, New Mexico","","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","10","16","16","Less than 25 feet","827","12130","1967","1960-1969","","110","110","","48.300000000000004","","","","","0","0","","0","","","2021-04-29","2020-07-28","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"Hatcher","","","CO01094","","CO01094","PAGOSA LAKES PROPERTY OWNERS ASSOCIATION (LARRY LY","Private","Private","0","USDA NRCS","No","Water Supply","Fish and Wildlife Pond;Recreation;Water Supply","Colorado","780102","37.312774999999995","-107.111398","Colorado","Archuleta","PAGOSA SPRINGS","0","MARTINEZ CREEK-TR","Congressional District 03, Colorado","S36,T.36N,R.02W, NEW MEXICO","Yes","Yes","DWR","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","","","46","530605","50","530605","Greater than 100 feet","798","","1965","1960-1969","","2480","2480","1735","133","3","1600","Uncontrolled","60","0","0","","0","","Slide (sluice gate)1","2022-12-22","2022-08-31","1","High","Satisfactory","2022-08-31","Yes","2017-07-14","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Craig #1","","","CO00298","","CO00298","JOHN HENDRICKS (SISSON, ALAN)","Private","Private","0","USDA NRCS","","Irrigation","Irrigation","Colorado","630105","38.775064","-108.72376","Colorado","Mesa","GATEWAY","20","WEST CREEK","Congressional District 03, Colorado","S06,T.15S,R.101W, 6TH PM","Yes","Yes","DWR","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","Earth","Soil","32","33","38","38","25-50 feet","925","9523","1951","1950-1959","","830","830","602","81","23","1750","Uncontrolled","60","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2022-06-02","2","Significant","Fair","2022-06-02","Yes","2022-06-02","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Aps Lined Decant Water Pond","","","NM00634","","NM00634","ARIZONA PUBLIC SERVICE COMPANY","Public Utility","Public Utility","0","ARIZONA PUBLIC SERVICE COMPANY","No","Tailings","Tailings","New Mexico","D-635","36.6831","-108.5124","New Mexico","San Juan","SHIPROCK","15","CHACO WASH - TR","Congressional District 03, New Mexico","T29N R16W S34","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","Soil","86","","","86","51-100 feet","5740","178578","2003","Since 2000","","422","422","114","42","0.18","","None","0","0","0","","0","","Needle0","2021-04-09","2019-11-20","3","Significant","Satisfactory","2019-11-20","Yes","2020-01-29","https://damsafety.org/new-mexico","South Pacific Division","Albuquerque District",""
"Mcphee","","","CO02707","","CO02707","RECLAMATION","Federal","Federal","1","","No","Fish and Wildlife Pond","Irrigation;Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply","Bureau of Reclamation","","37.577400000000004","-108.572","Colorado","Montezuma","SLIDE ROCK","60","DELORES RIVER","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Rockfill","Rockfill;Earth","Bituminous Concrete","Rock","295","262","295","295","Greater than 100 feet","1300","5030000","1983","1980-1989","","399200","399200","381000","4918","809","33300","Controlled","56","0","0","","0","","","2021-05-24","2020-09-23","1","High","Not Available","","Yes","2020-12-09","https://www.usbr.gov/ssle/damsafety/","South Pacific Division","Sacramento District",""
"Parker Basin #2","Little Meadow #2","","CO01961","","CO01961","COTTONWOOD RES COMPANY (CURRIER, PRESIDENT, CARLYL","Private","Private","0","UNKNOWN;USBR","Yes","Irrigation","Irrigation","Colorado","720225","39.091679","-107.955571","Colorado","Mesa","MOLINA","8","COTTONWOOD CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","18","18","18","18","Less than 25 feet","145","2852","1889","Before 1900","1968H;1968M;1968S","160","160","60","21","0","430","Uncontrolled","25","0","0","","0","","Slide (sluice gate)1","2022-12-22","2018-08-09","6","Low","Not Rated","","Yes","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Detention 1593 #3 Dam","","","WY02572","","WY02572","DOI BLM","Federal","Federal","","UNKNOWN","No","Debris Control","Debris Control","Bureau of Land Management","L63580","41.243900000000004","-107.87751","Wyoming","Carbon","","35","Unnamed wash","Congressional District 00, Wyoming","","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","48","51","51","51-100 feet","547","71204","1957","1950-1959","2010","65.77","65.77","4.54","11.86","1450","","Uncontrolled","2","0","0","","0","","None","2021-04-29","2016-07-13","5","Low","Poor","","Not Required","","https://www.blm.gov/","Northwestern Division","Omaha District",""
"Hotel Lake Dam","Hotel Twin","","CO00572","","CO00572","SURFACE CREEK DITCH & RESERVOIR CO. (WAIBEL, KEITH","Private","Private","0","","Yes","Irrigation","Irrigation","Colorado","400318","39.043068","-107.965487","Colorado","Delta","CEDAREDGE","9","WARD CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","21","23","27","27","25-50 feet","255","15603","1953","1950-1959","","549","299","549","35","2","50","Uncontrolled","103","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2022-06-24","1","High","Fair","2022-06-24","Yes","2020-03-01","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Wohler","Wahlier","","CO00942","","CO00942","ELK CREEK RANCH COMPANY L. L. C. (MERV LAPIN)","Private","Private","0","DISMUKE & DISMUKE INC;UNKNOWN","No","Irrigation","Irrigation","Colorado","530136","39.945007","-106.815576","Colorado","Routt","BURNS","10","ELK CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","28","22","28","28","25-50 feet","760","29555","1901","1900-1909","1972H;1972M;1972S","120","120","75","8","0","277","Uncontrolled","17","0","0","","0","","Slide (sluice gate)1","2022-12-22","2021-08-03","2","Significant","Satisfactory","2021-08-03","Yes","2015-12-15","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Mill Meadow","","","UT00208","","UT00208","FREMONT IRRIGATION COMPANY","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00208","38.49684156","-111.5690709","Utah","Wayne","FREMONT","3","FREMONT RIVER","Congressional District 02, Utah","03,27S~3E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","105","115","115","Greater than 100 feet","700","","1954","1950-1959","","6870","6870","5231","","178","159","","110","","","","","","","2021-03-17","2020-05-04","1","High","Satisfactory","2020-01-01","Yes","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Marcot Park","Green Back Grave","","CO00594","","CO00594","MARCOT PARK DITCH & RESERVOIR CO.","Private","Private","0","","Yes","Irrigation","Irrigation","Colorado","400407","39.034614999999995","-107.809218","Colorado","Delta","CEDAREDGE","11","SURFACE CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","39","39","39","39","25-50 feet","815","25600","1956","1950-1959","","648","648","448","43","3","3965","None","25","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2022-08-25","1","High","Fair","2022-08-25","Yes","2020-03-01","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
