"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Olga Detention Dam","","","AZ20017","","AZ20017","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63385","32.36092","-109.33657","Arizona","Cochise","SOLOMON, AZ","17","SAN SIMON RIVER","Congressional District 06, Arizona","S25, 0120S, 0290E","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth","Unlisted/Unknown","","19","25","25","25-50 feet","1300","9600","1940","1940-1949","","151","151","90.81","23.37","2.02","300","Uncontrolled","3","0","0","","0","","","2021-04-29","2007-06-05","5","Low","Poor","","Not Required","","https://www.blm.gov/","","",""
"Antelope Valley Detention Dam","","","AZ20001","","AZ20001","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Debris Control","Debris Control","Bureau of Land Management","L63359","36.59386","-112.98415","Arizona","Mohave","SAINT GEORGE, UTAH","55","CLAYHOLE WASH","Congressional District 09, Arizona","S19, 37 N, 06 W","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth","Unlisted/Unknown","","16","17","17","Less than 25 feet","1380","30000","1963","1960-1969","","267","267","200","37.4","5.3","826.5","Uncontrolled","2","0","0","","0","","","2021-04-29","2003-05-21","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"Red Lake Tank Dam","","","AZ00281","","AZ00281","DOI BLM","Federal","Federal","0","UNKNOWN","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Bureau of Land Management","L63368","34.73297","-113.32959","Arizona","Yavapai","BAGDAD,AZ","20","NO NAME","Congressional District 02, Arizona","S17, 0160N, 0100W","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","20","25","25","25-50 feet","500","12020","","Undetermined","","300","300","15","30","","","","","0","0","","0","","","2021-04-29","2010-03-23","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"Stanford Detention Dam 4","","","NM00668","","NM00668","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63398","32.53244","-108.99110999999999","New Mexico","Hidalgo","DUNCAN, AZ","11","RAILROAD WASH","Congressional District 02, New Mexico","S27, 0200S, 0210W","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","17","23","23","Less than 25 feet","538","17000","1954","1950-1959","","194.70000000000002","194.70000000000002","0","20","3.2","1499.3","","","0","0","","0","","","2021-04-29","2015-07-15","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"Dagger Draw Detention Dam 1","","","NM00113","","NM00113","DOI BLM","Federal","Federal","0","Bureau of Land Management","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L1824582","32.57279","-109.03095","New Mexico","Hidalgo","Franklin, AZ","9","Dagger Draw","Congressional District 02, New Mexico","S17, 200S, 210W","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth","Unlisted/Unknown","","16","22","22","Less than 25 feet","705","15004","1950","1950-1959","","105","105","63","12.5","4.92","1912","Uncontrolled","2","0","0","","0","","","2021-04-29","2015-07-20","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"San Simon Barrier Structure Detention Dam","","","AZ20025","","AZ20025","DOI BLM","Federal","Federal","0","Bureau of Land Management","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63388","32.77974","-109.61141","Arizona","Graham","SOLOMON, AZ","30","SAN SIMON RIVER","Congressional District 06, Arizona","S32, 0070S, 0270E","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","17","31","31","25-50 feet","4214","233000","1980","1980-1989","","1659","1659","0","290","2192","22960","Uncontrolled","350","0","0","","0","","","2021-04-29","2013-05-22","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"Crosby Tank Detention Dam","","","AZ20010","","AZ20010","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63350","36.45154","-113.23456","Arizona","Mohave","SAINT GEORGE, UTAH","49","LANGS RUN","Congressional District 09, Arizona","S11, 35 N, 09 W","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth","Soil","","26","31","31","25-50 feet","620","32089","1959","1950-1959","","1691.6000000000001","1691.6000000000001","1099.8","139.3","39","2200","Uncontrolled","3.5","0","0","","0","","","2021-04-29","2008-07-25","5","Low","Poor","","Not Required","","https://www.blm.gov/","","",""
"Leach Flood #1","","","AZ00080","","AZ00080","FREEPORT-MCMORAN SIERRITA OPERATIONS","Private","Private","0","","No","Flood Risk Reduction","Flood Risk Reduction;Other","Arizona","","31.86444","-111.10417","Arizona","Pima","CANOA RANCH","7","DUVAL LEACH WASH","Congressional District 07, Arizona","S15, T18S, R12E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","36","","","36","25-50 feet","500","0","1965","1960-1969","","155","155","135","9.4","1.9000000000000001","410","Uncontrolled","25","0","0","","0","","","2021-04-02","2020-10-14","1","High","Satisfactory","2017-07-27","Yes","","https://damsafety.org/arizona","","",""
"Gold Gulch #2","","","AZ00194","","AZ00194","CAPSTONE PINTO VALLEY MINING CORP.","Private","Private","0","","No","Other","Other","Arizona","","33.42472","-110.99222","Arizona","Gila","ROOSEVELT LAKE ESTATES","16","GOLD GULCH","Congressional District 02, Arizona","S24, T1N, R13E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Rockfill","Rockfill","Earth","Rock","99","","116.3","116.3","Greater than 100 feet","413","100000","1982","1980-1989","","590","590","0","16","","4477","Uncontrolled","50","0","0","","0","","","2021-04-02","2018-04-24","3","Significant","Satisfactory","2018-04-24","Yes","","https://damsafety.org/arizona","","",""
"Flat Top Detention Dam","","","AZ20011","","AZ20011","DOI BLM","Federal","Federal","","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63343","36.76434","-113.12291","Arizona","Mohave","HURRICANE UT","25","CLAYHOLE WASH","Congressional District 09, Arizona","","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","18","22","22","Less than 25 feet","4200","126455","1962","1960-1969","","1680","1680","0","324","370","392","Uncontrolled","","0","0","","0","","","2021-04-29","2018-05-11","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"South Well Detention Dam","","","AZ20029","","AZ20029","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63396","32.70955","-109.57400000000001","Arizona","Graham","","9","SAN SIMON RIVER","Congressional District 06, Arizona","S27, 0080S, 0270E","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","19","24","24","Less than 25 feet","1062","23000","1981","1980-1989","","334.8","334.8","168.36","16.72","1.73","250","","","0","0","","0","","","2021-04-29","2015-07-07","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"Woodland","Woodland Reservoir","","AZ00044","","AZ00044","SHOW LOW/PINETOP/WOODLAND IRRIGATION COMPANY","Private","Private","0","USDA NRCS","Yes","Irrigation","Irrigation;Recreation","Arizona","","34.12722","-109.95306","Arizona","Navajo","PINETOP & LAKESIDE","","WALNUT CREEK","Congressional District 02, Arizona","S31, T9N, R23E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","No","","","","No","N/A","Earth","Earth","Earth","Rock","18","18","","18","Less than 25 feet","1453","0","1914","1910-1919","","155","155","90","18","5.3","2014","Uncontrolled","44","0","0","","0","","Valve","2021-05-24","2020-07-16","1","High","Satisfactory","2017-09-20","Yes","","https://damsafety.org/arizona","","",""
"Theodore Roosevelt","","","AZ10317","","AZ10317","RECLAMATION","Federal","Federal","0","RECLAMATION","No","Hydroelectric","Hydroelectric;Irrigation;Recreation","Bureau of Reclamation","","33.6715","-111.1615","Arizona","Maricopa","GLOBE","30","SALT RIVER","Congressional District 01, Arizona","S19, T4N, R12E","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Masonry","Masonry;Arch","Bituminous Concrete","Rock","357","316","357","357","Greater than 100 feet","1208","720000","1911","1910-1919","1996E;1996F;1996H;1996S","3411500","3411500","1653043","31852","5736","150000","Controlled","268","0","0","","0","","","2021-05-24","2020-12-10","1","High","Not Available","","Yes","2020-12-08","https://www.usbr.gov/ssle/damsafety/","","",""
"Gold Gulch 1a","","","AZ00224","","AZ00224","PINTO VALLEY MINING CORP.","Private","Private","0","","No","Flood Risk Reduction","Flood Risk Reduction;Other","Arizona","","33.42","-110.98444","Arizona","Gila","ROOSEVELT LAKE ESTATES","16","GOLD GULCH","Congressional District 02, Arizona","S24, T1N, R13E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Rockfill","Rockfill","Earth","Rock;Soil","102","","106","106","Greater than 100 feet","855","320000","1995","1990-1999","","110","","110","13","0.1","","Uncontrolled","30","0","0","","0","","","2021-04-02","2018-04-24","3","Significant","Satisfactory","2018-04-24","Yes","","https://damsafety.org/arizona","","",""
"Christmas Tree","","","AZ10427","","AZ10427","BIA","Federal","Federal","0","","No","Recreation","Recreation","Bureau of Indian Affairs","","33.910129999999995","-109.7364","Arizona","Apache","WHITE RIVER","16","SUN CREEK","Congressional District 02, Arizona","S17 T6N R25E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","45","45","25-50 feet","850","0","1965","1960-1969","","575","","575","","","","Controlled","0","0","0","","0","","","2018-10-04","","5","High","Not Available","","Yes","2011-04-28","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Fort Apache Reservation"
"Imperial Diversion","","","CA10159","","CA10159","RECLAMATION","Federal","Federal","0","","No","Irrigation","Irrigation","Bureau of Reclamation","","32.8833","-114.467","California","Imperial","YUMA","20","COLORADO RIVER","Congressional District 25, California","","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Buttress","Buttress;Concrete;Other","Bituminous Concrete","Rock","85","23","85","85","51-100 feet","3475","196800","1937","1930-1939","","160000","160000","74000","7000","5756","180000","Uncontrolled","0","0","0","","0","","","2021-05-24","2020-07-08","1","High","Not Available","","Yes","2017-08-24","https://www.usbr.gov/ssle/damsafety/","","",""
"Bartlett","","","AZ10308","","AZ10308","RECLAMATION","Federal","Federal","0","RECLAMATION","No","Water Supply","Water Supply","Bureau of Reclamation","","33.8181","-111.63170000000001","Arizona","Maricopa","MESA","33","VERDE RIVER","Congressional District 01, Arizona","S33, T6N, R7E","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Buttress","Buttress;Arch;Concrete","Bituminous Concrete","Rock","308.5","211","308","308.5","Greater than 100 feet","1130","182000","1938","1930-1939","1997E;1997H;1997S","178000","41141","178000","3519","5815","175000","Controlled","170","0","0","","0","","","2021-05-24","2020-03-04","1","High","Not Available","","Yes","2020-12-08","https://www.usbr.gov/ssle/damsafety/","","",""
"Point of Pines","","","AZ10380","","AZ10380","BIA","Federal","Federal","0","","No","Recreation","Recreation","Bureau of Indian Affairs","","33.3665065","-109.7955357","Arizona","Graham","NONE","0","POINT OF PINES CREEK","Congressional District 02, Arizona","S8 T1S R25E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Rockfill","Rockfill","Earth","","42","","39","42","25-50 feet","480","0","1966","1960-1969","","493","","493","30","","","Uncontrolled","181","0","0","","0","","","2018-10-04","","5","High","Not Available","","Yes","2013-12-17","https://www.bia.gov/bia/ots/dwp/safety-dams","","","San Carlos Reservation"
"Granite Reef Diversion","","","AZ10316","","AZ10316","RECLAMATION","Federal","Federal","0","","No","Irrigation","Irrigation","Bureau of Reclamation","","33.5157","-111.69160000000001","Arizona","Maricopa","MESA","12","SALT RIVER","Congressional District 01, Arizona","S11, T2N, R76W OF 6PM","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Concrete","Concrete;Other","Bituminous Concrete","Rock","29","23","29","29","25-50 feet","1128","35000","1907","1900-1909","","700","700","250","","13000","165000","Uncontrolled","0","0","0","","0","","","2021-05-24","","6","Low","Not Available","","Not Required","","https://www.usbr.gov/ssle/damsafety/","","",""
"Horse Mesa","","","AZ10311","","AZ10311","RECLAMATION","Federal","Federal","0","","No","Hydroelectric","Hydroelectric;Irrigation;Water Supply","Bureau of Reclamation","","33.5906","-111.3439","Arizona","Maricopa","","0","SALT RIVER","Congressional District 01, Arizona","S20, T3N, R10E","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Concrete","Concrete;Arch","Bituminous Concrete","Rock","305","272","305","305","Greater than 100 feet","660","162000","1926","1920-1929","1999E;1999F","261335","261335","245048","2660","210","","Controlled","0","0","0","","0","","","2021-05-24","2020-09-02","1","High","Not Available","","Yes","2020-12-08","https://www.usbr.gov/ssle/damsafety/","","",""
"Window Rock","","","AZ11002","","AZ11002","BIA","Federal","Federal","0","","No","Flood Risk Reduction","Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond","Bureau of Indian Affairs","","35.678569661000004","-109.04678497600001","Arizona","McKinley","WINDOW ROCK","0.5","BLACK CREEK -TR","Congressional District 02, Arizona","UNSURVEYED","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Concrete","Concrete","","","","","34","34","25-50 feet","221","0","1936","1930-1939","","210","","210","","","","Controlled","0","0","0","","0","","","2018-10-04","2012-09-27","5","High","Not Available","","Yes","2012-04-10","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Navajo Nation Reservation"
"Reach 11 Detention Dike 2","","","AZ82914","S001","AZ82914S001","RECLAMATION","Federal","Federal","0","","No","Flood Risk Reduction","Flood Risk Reduction;Irrigation;Recreation;Water Supply","Bureau of Reclamation","","33.647800000000004","-111.9525","Arizona","Maricopa","PHOENIX","1","NONE","Congressional District 01, Arizona","S33, T4N, R4E","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","40","34","40","40","25-50 feet","16000","2800000","1977","1970-1979","","14600","14600","14600","","32","","None","0","0","0","","0","","","2021-05-24","2020-08-13","1","High","Not Available","","Yes","2020-10-20","https://www.usbr.gov/ssle/damsafety/","","",""
"West Doubtful Detention Dam","","","AZ20031","","AZ20031","DOI BLM","Federal","Federal","","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63374","32.30717","-109.22352","Arizona","Cochise","SOLOMON, AZ","47","SAN SIMON CREEK","Congressional District 06, Arizona","","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","29","3","29","25-50 feet","3265","393000","1968","1960-1969","","865.6","865.6","798.9","125.9","44","2967","Uncontrolled","3.5","0","0","","0","","","2021-04-29","2003-11-20","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"Slick Rock Detention Dam","","","AZ20028","","AZ20028","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Other","Other","Bureau of Land Management","L63340","32.72399","-109.47577","Arizona","Graham","SOLOMON, AZ","13","SLICK ROCK WASH","Congressional District 06, Arizona","S22, 0080S, 0280E","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","30","35","35","25-50 feet","1920","158000","1981","1980-1989","","1418.2","1418.2","1022.1","98","58.1","3604","","","0","0","","0","","","2021-04-29","2009-05-13","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"Reach 11 Detention Dike 3","","","AZ82914","S002","AZ82914S002","RECLAMATION","Federal","Federal","0","","No","Flood Risk Reduction","Flood Risk Reduction;Irrigation;Recreation;Water Supply","Bureau of Reclamation","","33.6377","-111.91720000000001","Arizona","Maricopa","PHOENIX","1","NONE","Congressional District 01, Arizona","S2, T3N, R4E","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","35","29","35","35","25-50 feet","10500","1750000","1977","1970-1979","","14600","14600","14600","","24","","None","0","0","0","","0","","","2021-05-24","2020-08-13","1","High","Not Available","","Yes","2020-10-20","https://www.usbr.gov/ssle/damsafety/","","",""
"Copper Basin","","","CA00214","","CA00214","Metropolitan Water District Of Southern California","Public Utility","Public Utility","0","","No","Water Supply","Water Supply","California","35.003","34.279","-114.2227","California","San Bernardino","Parker Strip","6","Copper Basin","Congressional District 25, California","","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Arch","Arch","","","184","","170.5","184","Greater than 100 feet","265","19050","1938","1930-1939","","22000","22000","","427","8.2","","","","","","","","","","2022-12-23","2021-10-28","1","High","Satisfactory","2017-09-01","Yes","2018-12-28","https://damsafety.org/california","Normal Operations","2023-02-22",""
"Christman Detention Dam","","","AZ20006","","AZ20006","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Debris Control","Debris Control","Bureau of Land Management","L63348","36.4386","-113.423","Arizona","Mohave","SAINT GEORGE, UTAH","46","HURRICANE VALLEY TRIBUTARY","Congressional District 09, Arizona","S13, 35 N, 11 W","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth","Unlisted/Unknown","","21","26","26","25-50 feet","1645","42600","1958","1950-1959","","361.62","361.62","306","62","12","932","Uncontrolled","2.5","0","0","","0","","","2021-04-29","2008-06-24","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"Shush Be Tou","Big Bear","","AZ10430","","AZ10430","BIA","Federal","Federal","0","","No","Recreation","Recreation","Bureau of Indian Affairs","","34.06209","-109.73530000000001","Arizona","Apache","NONE","0","BOG CREEK","Congressional District 02, Arizona","S29 T8N R25E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","36","36","25-50 feet","375","0","1966","1960-1969","","180","","180","","","","Controlled","0","0","0","","0","","","2018-10-04","","5","High","Not Available","","Yes","2011-04-28","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Fort Apache Reservation"
"Blue Canyon","","","AZ11001","","AZ11001","BIA","Federal","Federal","0","","No","Water Supply","Water Supply","Bureau of Indian Affairs","","35.781439999999996","-109.10610000000001","Arizona","Apache","FT. DEFIANCE","3","BONITO CREEK","Congressional District 02, Arizona","UNSURVEYED","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","142","142","Greater than 100 feet","380","0","1984","1980-1989","","1900","","1900","","","","Controlled","0","0","0","","0","","","2018-10-04","2012-09-07","5","High","Not Available","","Yes","2012-04-10","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Navajo Nation Reservation"
"Halfway Detention Dam","","","AZ20013","","AZ20013","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63386","32.74509","-109.54581","Arizona","Graham","SOLOMON, AZ","9","SAN SIMON RIVER","Congressional District 06, Arizona","S22, 0060S, 0290E","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","15","18","18","Less than 25 feet","1680","35000","1940","1940-1949","","247","247","0","16","","","Uncontrolled","1.5","0","0","","0","","","2021-04-29","2015-07-08","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"Sunrise","","","AZ10432","","AZ10432","BIA","Federal","Federal","0","","No","Recreation","Recreation","Bureau of Indian Affairs","","34.01013","-109.5635","Arizona","Apache","NONE","0","SNAKE CREEK","Congressional District 02, Arizona","S12 T7N R26E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","50","50","51-100 feet","1300","0","1967","1960-1969","","15600","","15600","","","","Controlled","0","0","0","","0","","","2018-10-04","","5","High","Not Available","","Yes","2011-04-28","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Fort Apache Reservation"
"Reach 11 Detention Dike 4","","","AZ82914","S003","AZ82914S003","RECLAMATION","Federal","Federal","0","","No","Flood Risk Reduction","Flood Risk Reduction;Irrigation;Recreation;Water Supply","Bureau of Reclamation","","33.628","-111.8711","Arizona","Maricopa","PHOENIX","1","NONE","Congressional District 01, Arizona","S5, T3N, R5E","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","40","34","40","40","25-50 feet","18100","2800000","1977","1970-1979","","11400","11400","11400","","21","","None","0","0","0","","0","","","2021-05-24","2020-08-13","1","High","Not Available","","Yes","2020-10-20","https://www.usbr.gov/ssle/damsafety/","","",""
"Ryan Detention Dam","","","AZ20024","","AZ20024","DOI BLM","Federal","Federal","0","UNKNOWN","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63379","32.49546","-109.44894","Arizona","Graham","SOLOMON, AZ","16","RYAN DRAW","Congressional District 06, Arizona","S12, 0110S, 0280E","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","34","37","37","25-50 feet","2000","191000","1967","1960-1969","","435","435","0","38","","","Uncontrolled","2.5","0","0","","0","","","2021-04-29","2015-07-09","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
